stimulusValue;stimulusValueType;stimulusType;correctResponse;keyCode;keyLabel;keyIndex;response
bathed;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Julie;text;ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
mopped;text;disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
bathroom;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
floor.;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Did the nurse bathe herself?;text;Question-GP-no_comma-good_enough;Yes;ArrowLeft;Yes;0;Yes
While;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
Milo;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
pushed,;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
decorator;text;ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
argued;text;disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
about;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
paint;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
colour;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
in;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
living;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
room.;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
Was the decorator pushed?;text;Question-GP-comma-factual;No;ArrowRight;No;1;No
After;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
her;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
boyfriend;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
left,;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Jane;text;ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
yelled;text;disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
swear;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
words;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
after;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
him.;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Did her boyfriend leave Jane?;text;Question-GP-comma-good_enough;No;ArrowRight;No;1;No
After;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
fight;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
while;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Kate;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
posed;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Megan;text;ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
amassed;text;disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
some;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
reporters.;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Was Megan posed by Kate?;text;Question-GP-no_comma-good_enough;No;ArrowRight;No;1;No
While;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
Dale;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
rushed;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
Alec;text;ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
inspected;text;disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
some;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
shirts;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
at;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
department;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
store.;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
Was Dale rushing?;text;Question-GP-no_comma-factual;Yes;ArrowLeft;Yes;0;Yes
When;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
Teri;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
stopped,;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
Harry;text;ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
donated;text;disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
a;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
pound;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
to;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
charity;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
outside;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
supermarket.;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
Was Harry stopped?;text;Question-GP-comma-factual;No;ArrowRight;No;1;No
When;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Bill;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
asked;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Lindsay;text;ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
audited;text;disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
company's;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
books;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
to;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
confirm;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
they;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
were;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
right.;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Was Lindsay asked something?;text;Question-GP-comma-good_enough;No;ArrowRight;No;1;No
Once;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Will;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
tired;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
his;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
opponent;text;ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
grasped;text;disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
for;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
his;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
right;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
leg;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
and;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
pinned;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
him.;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Did Will get tired?;text;Question-GP-no_comma-good_enough;Yes;ArrowLeft;Yes;0;Yes
While;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
Samantha;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
helped;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
Darren;text;ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
dusted;text;disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
rooms;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
in;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
preparation;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
for;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
tour.;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
Did Darren dust?;text;Question-GP-no_comma-factual;Yes;ArrowLeft;Yes;0;Yes
